student_id,school,major,year,age,gender,seed_keywords
NU_ENG_000033,NU,Civil Engineering,2,19,F,"['structures', 'sustainability', 'risk', 'transportation']"
NU_ENG_000034,NU,Computer Engineering,2,19,F,"['embedded', 'hardware', 'architecture', 'IoT']"
NU_ENG_000035,NU,Computer Science,1,18,F,"['NLP', 'machine learning', 'algorithms', 'systems']"
NU_ENG_000036,NU,Biomedical Engineering,4,21,Unknown,"['team projects', 'experiments', 'design', 'data analysis']"
NU_ENG_000037,NU,Biomedical Engineering,4,21,F,"['data analysis', 'experiments', 'modeling', 'programming']"
NU_ENG_000038,NU,Computer Science,1,19,F,"['machine learning', 'algorithms', 'systems', 'data']"
NU_ENG_000039,NU,Chemical Engineering,3,20,M,"['experiments', 'modeling', 'data analysis', 'team projects']"
NU_ENG_000040,NU,Electrical Engineering,4,22,F,"['signals', 'embedded', 'communications', 'circuits']"
NU_ENG_000041,NU,Computer Science,2,19,F,"['algorithms', 'AI', 'machine learning', 'systems']"
NU_ENG_000042,NU,Industrial Engineering,4,23,Unknown,"['optimization', 'supply chain', 'operations', 'quality']"
NU_ENG_000043,NU,Electrical Engineering,3,20,M,"['embedded', 'signals', 'control', 'circuits']"
NU_ENG_000044,NU,Civil Engineering,4,22,F,"['water', 'sustainability', 'transportation', 'structures']"
NU_ENG_000045,NU,Industrial Engineering,4,22,M,"['supply chain', 'optimization', 'simulation', 'analytics']"
NU_ENG_000046,NU,Industrial Engineering,1,18,F,"['supply chain', 'operations', 'optimization', 'simulation']"
NU_ENG_000047,NU,Computer Engineering,2,19,F,"['computer vision', 'IoT', 'hardware', 'architecture']"
NU_ENG_000048,NU,Civil Engineering,3,20,M,"['sustainability', 'structures', 'geotech', 'transportation']"
NU_ENG_000049,NU,Electrical Engineering,1,18,M,"['power', 'communications', 'signals', 'circuits']"
NU_ENG_000050,NU,Biomedical Engineering,2,20,M,"['experiments', 'design', 'programming', 'modeling']"
NU_ENG_000051,NU,Biomedical Engineering,4,22,M,"['team projects', 'data analysis', 'programming', 'modeling']"
NU_ENG_000052,NU,Applied Math,1,18,F,"['design', 'programming', 'team projects', 'data analysis']"
NU_ENG_000053,NU,Industrial Engineering,2,19,M,"['operations', 'simulation', 'supply chain', 'quality']"
NU_ENG_000054,NU,Electrical Engineering,4,21,M,"['circuits', 'signals', 'embedded', 'control']"
NU_ENG_000055,NU,Electrical Engineering,2,20,F,"['circuits', 'signals', 'power', 'control']"
NU_ENG_000056,NU,Industrial Engineering,2,20,M,"['supply chain', 'operations', 'analytics', 'simulation']"
NU_ENG_000057,NU,Computer Science,4,21,F,"['AI', 'data', 'NLP', 'algorithms']"
NU_ENG_000058,NU,Computer Science,2,20,M,"['NLP', 'data', 'systems', 'AI']"
NU_ENG_000059,NU,Biomedical Engineering,1,18,M,"['team projects', 'modeling', 'design', 'programming']"
NU_ENG_000060,NU,Biomedical Engineering,1,19,F,"['data analysis', 'programming', 'experiments', 'design']"
NU_ENG_000061,NU,Electrical Engineering,4,22,M,"['communications', 'power', 'embedded', 'control']"
NU_ENG_000062,NU,Computer Science,2,20,F,"['systems', 'algorithms', 'machine learning', 'AI']"
NU_ENG_000063,NU,Computer Science,3,20,M,"['NLP', 'AI', 'machine learning', 'algorithms']"
NU_ENG_000064,NU,Industrial Engineering,1,18,F,"['optimization', 'supply chain', 'simulation', 'operations']"
NU_ENG_000065,NU,Computer Science,2,19,F,"['AI', 'NLP', 'algorithms', 'machine learning']"
NU_ENG_000066,NU,Computer Science,4,22,F,"['NLP', 'systems', 'AI', 'machine learning']"
NU_ENG_000067,NU,Computer Science,3,20,M,"['machine learning', 'NLP', 'data', 'algorithms']"
NU_ENG_000068,NU,Civil Engineering,4,21,F,"['geotech', 'transportation', 'sustainability', 'risk']"
NU_ENG_000069,NU,Applied Math,2,20,M,"['experiments', 'programming', 'modeling', 'design']"
NU_ENG_000070,NU,Computer Science,3,20,F,"['algorithms', 'NLP', 'data', 'systems']"
NU_ENG_000071,NU,Chemical Engineering,4,21,M,"['experiments', 'design', 'data analysis', 'team projects']"
NU_ENG_000072,NU,Computer Engineering,2,19,F,"['computer vision', 'architecture', 'IoT', 'systems']"
NU_ENG_000073,NU,Industrial Engineering,2,19,F,"['simulation', 'quality', 'optimization', 'analytics']"
NU_ENG_000074,NU,Chemical Engineering,4,21,M,"['experiments', 'modeling', 'data analysis', 'programming']"
NU_ENG_000075,NU,Biomedical Engineering,2,19,M,"['modeling', 'programming', 'team projects', 'experiments']"
NU_ENG_000076,NU,Chemical Engineering,3,20,M,"['design', 'data analysis', 'programming', 'modeling']"
NU_ENG_000077,NU,Civil Engineering,4,21,M,"['water', 'risk', 'transportation', 'structures']"
NU_ENG_000078,NU,Electrical Engineering,1,18,M,"['control', 'power', 'circuits', 'signals']"
NU_ENG_000079,NU,Computer Science,2,19,M,"['NLP', 'machine learning', 'systems', 'data']"
NU_ENG_000080,NU,Industrial Engineering,1,18,M,"['optimization', 'simulation', 'quality', 'analytics']"
NU_ENG_000081,NU,Electrical Engineering,2,19,M,"['signals', 'circuits', 'power', 'embedded']"
NU_ENG_000082,NU,Computer Engineering,1,18,M,"['architecture', 'computer vision', 'embedded', 'systems']"
NU_ENG_000083,NU,Industrial Engineering,3,21,M,"['quality', 'supply chain', 'operations', 'optimization']"
NU_ENG_000084,NU,Biomedical Engineering,1,18,M,"['experiments', 'design', 'data analysis', 'team projects']"
NU_ENG_000085,NU,Applied Math,3,20,M,"['design', 'team projects', 'modeling', 'data analysis']"
NU_ENG_000086,NU,Biomedical Engineering,2,20,M,"['data analysis', 'experiments', 'programming', 'team projects']"
NU_ENG_000087,NU,Environmental Engineering,2,19,M,"['design', 'experiments', 'data analysis', 'programming']"
NU_ENG_000088,NU,Computer Science,2,19,M,"['algorithms', 'systems', 'NLP', 'AI']"
NU_ENG_000089,NU,Biomedical Engineering,3,20,NB,"['data analysis', 'experiments', 'modeling', 'design']"
NU_ENG_000090,NU,Computer Science,2,19,NB,"['NLP', 'data', 'systems', 'machine learning']"
NU_ENG_000091,NU,Biomedical Engineering,2,19,M,"['modeling', 'team projects', 'experiments', 'design']"
NU_ENG_000092,NU,Electrical Engineering,4,23,M,"['circuits', 'communications', 'control', 'power']"
NU_ENG_000093,NU,Computer Science,3,21,M,"['systems', 'algorithms', 'NLP', 'machine learning']"
NU_ENG_000094,NU,Computer Engineering,1,18,F,"['IoT', 'systems', 'embedded', 'architecture']"
NU_ENG_000095,NU,Civil Engineering,4,22,M,"['risk', 'structures', 'geotech', 'water']"
NU_ENG_000096,NU,Computer Science,2,19,F,"['algorithms', 'data', 'AI', 'NLP']"
NU_ENG_000097,NU,Computer Engineering,1,18,F,"['computer vision', 'systems', 'embedded', 'IoT']"
NU_ENG_000098,NU,Biomedical Engineering,2,19,NB,"['experiments', 'modeling', 'design', 'programming']"
NU_ENG_000099,NU,Biomedical Engineering,1,18,M,"['programming', 'team projects', 'data analysis', 'modeling']"
NU_ENG_000100,NU,Materials Science and Engineering,1,19,M,"['team projects', 'programming', 'experiments', 'data analysis']"
NU_ENG_000101,NU,Manufacturing and Design Engineering,3,20,F,"['data analysis', 'team projects', 'design', 'experiments']"
NU_ENG_000102,NU,Electrical Engineering,1,18,M,"['embedded', 'control', 'signals', 'communications']"
NU_ENG_000103,NU,Chemical Engineering,4,22,M,"['modeling', 'programming', 'experiments', 'design']"
NU_ENG_000104,NU,Materials Science and Engineering,4,21,M,"['team projects', 'design', 'programming', 'data analysis']"
NU_ENG_000105,NU,Industrial Engineering,3,21,Unknown,"['operations', 'supply chain', 'quality', 'simulation']"
NU_ENG_000106,NU,Electrical Engineering,3,20,F,"['embedded', 'power', 'control', 'circuits']"
NU_ENG_000107,NU,Computer Science,3,21,F,"['data', 'systems', 'NLP', 'algorithms']"
NU_ENG_000108,NU,Chemical Engineering,4,23,F,"['modeling', 'team projects', 'programming', 'design']"
NU_ENG_000109,NU,Biomedical Engineering,2,20,F,"['modeling', 'data analysis', 'experiments', 'team projects']"
NU_ENG_000110,NU,Manufacturing and Design Engineering,1,18,F,"['design', 'modeling', 'data analysis', 'team projects']"
NU_ENG_000111,NU,Computer Science,3,20,F,"['NLP', 'algorithms', 'data', 'systems']"
NU_ENG_000112,NU,Biomedical Engineering,3,21,F,"['team projects', 'data analysis', 'design', 'modeling']"
NU_ENG_000113,NU,Civil Engineering,1,19,F,"['risk', 'structures', 'geotech', 'water']"
NU_ENG_000114,NU,Computer Science,3,20,F,"['machine learning', 'systems', 'algorithms', 'data']"
NU_ENG_000115,NU,Biomedical Engineering,1,19,M,"['team projects', 'design', 'programming', 'data analysis']"
NU_ENG_000116,NU,Industrial Engineering,4,21,F,"['supply chain', 'simulation', 'operations', 'optimization']"
NU_ENG_000117,NU,Industrial Engineering,2,19,M,"['simulation', 'optimization', 'supply chain', 'operations']"
NU_ENG_000118,NU,Environmental Engineering,1,19,F,"['programming', 'experiments', 'design', 'modeling']"
NU_ENG_000119,NU,Computer Science,1,18,F,"['NLP', 'algorithms', 'systems', 'data']"
NU_ENG_000120,NU,Computer Science,1,18,F,"['NLP', 'algorithms', 'data', 'machine learning']"
NU_ENG_000121,NU,Computer Science,2,20,M,"['systems', 'data', 'AI', 'algorithms']"
NU_ENG_000122,NU,Electrical Engineering,1,19,F,"['embedded', 'power', 'circuits', 'control']"
NU_ENG_000123,NU,Biomedical Engineering,2,20,M,"['design', 'modeling', 'programming', 'team projects']"
NU_ENG_000124,NU,Computer Science,1,18,F,"['systems', 'AI', 'NLP', 'algorithms']"
NU_ENG_000125,NU,Applied Math,2,20,Unknown,"['modeling', 'team projects', 'experiments', 'data analysis']"
NU_ENG_000126,NU,Computer Science,2,19,F,"['systems', 'data', 'algorithms', 'AI']"
NU_ENG_000127,NU,Civil Engineering,2,19,M,"['water', 'transportation', 'risk', 'structures']"
NU_ENG_000128,NU,Biomedical Engineering,2,19,M,"['data analysis', 'team projects', 'programming', 'modeling']"
NU_ENG_000129,NU,Biomedical Engineering,1,19,F,"['experiments', 'team projects', 'data analysis', 'programming']"
NU_ENG_000130,NU,Computer Science,1,19,F,"['machine learning', 'algorithms', 'data', 'NLP']"
NU_ENG_000131,NU,Biomedical Engineering,1,19,M,"['modeling', 'data analysis', 'programming', 'design']"
NU_ENG_000132,NU,Manufacturing and Design Engineering,4,22,F,"['design', 'team projects', 'data analysis', 'experiments']"
NU_ENG_000133,NU,Computer Science,4,21,F,"['algorithms', 'NLP', 'AI', 'machine learning']"
NU_ENG_000134,NU,Computer Engineering,4,21,M,"['IoT', 'hardware', 'embedded', 'architecture']"
NU_ENG_000135,NU,Computer Science,3,20,F,"['data', 'algorithms', 'systems', 'NLP']"
NU_ENG_000136,NU,Applied Math,3,20,M,"['experiments', 'programming', 'modeling', 'data analysis']"
NU_ENG_000137,NU,Materials Science and Engineering,2,19,M,"['modeling', 'experiments', 'data analysis', 'programming']"
NU_ENG_000138,NU,Computer Science,4,23,M,"['algorithms', 'NLP', 'data', 'AI']"
NU_ENG_000139,NU,Industrial Engineering,4,22,F,"['optimization', 'analytics', 'simulation', 'supply chain']"
NU_ENG_000140,NU,Biomedical Engineering,4,22,M,"['team projects', 'experiments', 'design', 'programming']"
NU_ENG_000141,NU,Computer Science,4,21,M,"['systems', 'data', 'NLP', 'AI']"
NU_ENG_000142,NU,Computer Science,2,19,F,"['NLP', 'systems', 'algorithms', 'data']"
NU_ENG_000143,NU,Materials Science and Engineering,4,21,M,"['design', 'team projects', 'experiments', 'modeling']"
NU_ENG_000144,NU,Computer Science,4,21,M,"['AI', 'data', 'machine learning', 'systems']"
NU_ENG_000145,NU,Computer Science,2,19,M,"['algorithms', 'NLP', 'data', 'machine learning']"
NU_ENG_000146,NU,Chemical Engineering,4,22,F,"['data analysis', 'design', 'team projects', 'programming']"
NU_ENG_000147,NU,Civil Engineering,1,18,F,"['sustainability', 'water', 'structures', 'geotech']"
NU_ENG_000148,NU,Computer Science,4,22,M,"['NLP', 'AI', 'data', 'machine learning']"
NU_ENG_000149,NU,Computer Science,4,22,M,"['systems', 'machine learning', 'AI', 'data']"
NU_ENG_000150,NU,Applied Math,1,18,F,"['programming', 'team projects', 'modeling', 'design']"
NU_ENG_000151,NU,Industrial Engineering,3,20,F,"['operations', 'supply chain', 'quality', 'optimization']"
NU_ENG_000152,NU,Manufacturing and Design Engineering,1,18,M,"['programming', 'team projects', 'modeling', 'experiments']"
NU_ENG_000153,NU,Biomedical Engineering,4,21,F,"['experiments', 'data analysis', 'modeling', 'team projects']"
NU_ENG_000154,NU,Computer Science,4,21,F,"['machine learning', 'algorithms', 'AI', 'NLP']"
NU_ENG_000155,NU,Biomedical Engineering,3,20,M,"['design', 'data analysis', 'modeling', 'programming']"
NU_ENG_000156,NU,Electrical Engineering,4,21,F,"['power', 'communications', 'embedded', 'signals']"
NU_ENG_000157,NU,Chemical Engineering,1,19,F,"['programming', 'data analysis', 'experiments', 'team projects']"
NU_ENG_000158,NU,Electrical Engineering,2,19,F,"['control', 'embedded', 'communications', 'signals']"
NU_ENG_000159,NU,Environmental Engineering,2,19,M,"['experiments', 'design', 'data analysis', 'modeling']"
NU_ENG_000160,NU,Industrial Engineering,1,18,F,"['simulation', 'optimization', 'quality', 'operations']"
NU_ENG_000161,NU,Biomedical Engineering,2,19,M,"['experiments', 'design', 'programming', 'data analysis']"
NU_ENG_000162,NU,Manufacturing and Design Engineering,2,19,Unknown,"['modeling', 'programming', 'data analysis', 'team projects']"
NU_ENG_000163,NU,Chemical Engineering,2,20,M,"['design', 'team projects', 'programming', 'experiments']"
NU_ENG_000164,NU,Applied Math,2,19,M,"['programming', 'team projects', 'modeling', 'experiments']"
NU_ENG_000165,NU,Computer Science,4,21,M,"['algorithms', 'machine learning', 'NLP', 'AI']"
NU_ENG_000166,NU,Computer Engineering,2,19,F,"['architecture', 'hardware', 'embedded', 'systems']"
NU_ENG_000167,NU,Industrial Engineering,4,21,M,"['supply chain', 'operations', 'quality', 'optimization']"
NU_ENG_000168,NU,Industrial Engineering,2,19,NB,"['simulation', 'optimization', 'quality', 'operations']"
NU_ENG_000169,NU,Civil Engineering,2,19,M,"['water', 'sustainability', 'structures', 'risk']"
NU_ENG_000170,NU,Materials Science and Engineering,3,20,M,"['experiments', 'team projects', 'design', 'data analysis']"
NU_ENG_000171,NU,Civil Engineering,2,20,F,"['geotech', 'structures', 'transportation', 'water']"
NU_ENG_000172,NU,Computer Science,2,20,M,"['NLP', 'systems', 'algorithms', 'data']"
NU_ENG_000173,NU,Chemical Engineering,3,21,F,"['programming', 'design', 'team projects', 'data analysis']"
NU_ENG_000174,NU,Materials Science and Engineering,1,18,M,"['modeling', 'design', 'data analysis', 'experiments']"
NU_ENG_000175,NU,Biomedical Engineering,2,20,F,"['data analysis', 'design', 'experiments', 'team projects']"
NU_ENG_000176,NU,Applied Math,3,20,M,"['data analysis', 'experiments', 'team projects', 'programming']"
NU_ENG_000177,NU,Computer Science,2,19,M,"['algorithms', 'NLP', 'systems', 'machine learning']"
NU_ENG_000178,NU,Undecided,4,22,M,"['design', 'data analysis', 'programming', 'modeling']"
NU_ENG_000179,NU,Manufacturing and Design Engineering,2,19,F,"['team projects', 'modeling', 'design', 'data analysis']"
NU_ENG_000180,NU,Industrial Engineering,4,23,M,"['optimization', 'quality', 'operations', 'simulation']"
NU_ENG_000181,NU,Manufacturing and Design Engineering,4,22,F,"['data analysis', 'modeling', 'programming', 'team projects']"
NU_ENG_000182,NU,Manufacturing and Design Engineering,4,21,F,"['design', 'data analysis', 'programming', 'modeling']"
NU_ENG_000183,NU,Computer Science,4,21,M,"['data', 'NLP', 'systems', 'algorithms']"
NU_ENG_000184,NU,Civil Engineering,1,18,M,"['sustainability', 'risk', 'structures', 'geotech']"
NU_ENG_000185,NU,Industrial Engineering,3,21,M,"['analytics', 'simulation', 'quality', 'optimization']"
NU_ENG_000186,NU,Electrical Engineering,1,19,F,"['communications', 'power', 'control', 'embedded']"
NU_ENG_000187,NU,Computer Engineering,4,21,M,"['hardware', 'architecture', 'IoT', 'embedded']"
NU_ENG_000188,NU,Biomedical Engineering,3,20,M,"['experiments', 'programming', 'modeling', 'design']"
NU_ENG_000189,NU,Industrial Engineering,2,19,F,"['analytics', 'operations', 'supply chain', 'optimization']"
NU_ENG_000190,NU,Chemical Engineering,4,21,M,"['modeling', 'data analysis', 'programming', 'team projects']"
NU_ENG_000191,NU,Materials Science and Engineering,1,18,M,"['experiments', 'programming', 'modeling', 'design']"
NU_ENG_000192,NU,Chemical Engineering,3,21,M,"['design', 'team projects', 'modeling', 'experiments']"
NU_ENG_000193,NU,Biomedical Engineering,3,20,M,"['programming', 'design', 'experiments', 'modeling']"
NU_ENG_000194,NU,Industrial Engineering,1,19,M,"['quality', 'simulation', 'analytics', 'supply chain']"
NU_ENG_000195,NU,Biomedical Engineering,3,20,F,"['team projects', 'modeling', 'programming', 'data analysis']"
NU_ENG_000196,NU,Biomedical Engineering,4,21,F,"['design', 'data analysis', 'programming', 'modeling']"
NU_ENG_000197,NU,Computer Science,1,18,M,"['algorithms', 'machine learning', 'systems', 'data']"
NU_ENG_000198,NU,Industrial Engineering,3,21,M,"['simulation', 'quality', 'supply chain', 'optimization']"
NU_ENG_000199,NU,Biomedical Engineering,2,19,M,"['experiments', 'programming', 'data analysis', 'modeling']"
NU_ENG_000200,NU,Civil Engineering,3,20,M,"['water', 'sustainability', 'geotech', 'risk']"
NU_ENG_000201,NU,Industrial Engineering,1,18,M,"['supply chain', 'optimization', 'quality', 'operations']"
NU_ENG_000202,NU,Materials Science and Engineering,4,22,F,"['data analysis', 'programming', 'modeling', 'design']"
NU_ENG_000203,NU,Computer Science,4,21,M,"['NLP', 'machine learning', 'AI', 'algorithms']"
NU_ENG_000204,NU,Biomedical Engineering,1,18,M,"['team projects', 'programming', 'design', 'modeling']"
NU_ENG_000205,NU,Applied Math,2,20,M,"['design', 'programming', 'experiments', 'team projects']"
NU_ENG_000206,NU,Chemical Engineering,3,21,F,"['team projects', 'experiments', 'data analysis', 'programming']"
NU_ENG_000207,NU,Biomedical Engineering,3,20,F,"['design', 'experiments', 'modeling', 'data analysis']"
NU_ENG_000208,NU,Electrical Engineering,2,19,F,"['signals', 'control', 'communications', 'power']"
NU_ENG_000209,NU,Biomedical Engineering,1,18,M,"['team projects', 'experiments', 'programming', 'design']"
NU_ENG_000210,NU,Computer Science,1,18,M,"['NLP', 'machine learning', 'AI', 'algorithms']"
NU_ENG_000211,NU,Electrical Engineering,4,21,F,"['power', 'control', 'communications', 'circuits']"
NU_ENG_000212,NU,Computer Science,2,19,M,"['NLP', 'data', 'algorithms', 'systems']"
NU_ENG_000213,NU,Biomedical Engineering,4,21,NB,"['experiments', 'programming', 'modeling', 'team projects']"
NU_ENG_000214,NU,Industrial Engineering,2,19,F,"['operations', 'supply chain', 'optimization', 'analytics']"
NU_ENG_000215,NU,Electrical Engineering,4,21,M,"['embedded', 'signals', 'control', 'power']"
NU_ENG_000216,NU,Environmental Engineering,1,18,M,"['data analysis', 'team projects', 'design', 'experiments']"
NU_ENG_000217,NU,Biomedical Engineering,1,18,F,"['programming', 'data analysis', 'modeling', 'experiments']"
NU_ENG_000218,NU,Biomedical Engineering,4,21,M,"['modeling', 'data analysis', 'team projects', 'design']"
NU_ENG_000219,NU,Materials Science and Engineering,4,22,M,"['experiments', 'data analysis', 'programming', 'modeling']"
NU_ENG_000220,NU,Computer Engineering,2,19,F,"['IoT', 'hardware', 'computer vision', 'embedded']"
NU_ENG_000221,NU,Civil Engineering,2,19,F,"['geotech', 'transportation', 'structures', 'water']"
NU_ENG_000222,NU,Computer Science,2,19,M,"['algorithms', 'NLP', 'systems', 'machine learning']"
NU_ENG_000223,NU,Electrical Engineering,2,19,F,"['power', 'circuits', 'communications', 'control']"
NU_ENG_000224,NU,Materials Science and Engineering,1,18,M,"['experiments', 'modeling', 'design', 'team projects']"
NU_ENG_000225,NU,Civil Engineering,4,21,M,"['geotech', 'water', 'risk', 'structures']"
NU_ENG_000226,NU,Manufacturing and Design Engineering,2,20,M,"['design', 'programming', 'data analysis', 'team projects']"
NU_ENG_000227,NU,Applied Math,3,20,M,"['experiments', 'modeling', 'team projects', 'design']"
NU_ENG_000228,NU,Computer Science,1,18,M,"['data', 'machine learning', 'algorithms', 'AI']"
NU_ENG_000229,NU,Computer Science,1,18,M,"['machine learning', 'systems', 'algorithms', 'NLP']"
NU_ENG_000230,NU,Biomedical Engineering,3,20,M,"['experiments', 'programming', 'design', 'modeling']"
NU_ENG_000231,NU,Biomedical Engineering,2,20,F,"['experiments', 'data analysis', 'design', 'programming']"
NU_ENG_000232,NU,Computer Science,3,20,F,"['systems', 'algorithms', 'machine learning', 'NLP']"
NU_ENG_000233,NU,Materials Science and Engineering,1,19,M,"['programming', 'team projects', 'design', 'experiments']"
NU_ENG_000234,NU,Computer Science,4,22,F,"['data', 'algorithms', 'systems', 'AI']"
NU_ENG_000235,NU,Materials Science and Engineering,3,20,M,"['data analysis', 'modeling', 'experiments', 'programming']"
NU_ENG_000236,NU,Industrial Engineering,4,22,F,"['simulation', 'quality', 'analytics', 'optimization']"
NU_ENG_000237,NU,Computer Science,1,18,F,"['AI', 'algorithms', 'data', 'systems']"
NU_ENG_000238,NU,Industrial Engineering,2,20,F,"['analytics', 'optimization', 'operations', 'quality']"
NU_ENG_000239,NU,Applied Math,2,19,M,"['team projects', 'design', 'modeling', 'programming']"
NU_ENG_000240,NU,Biomedical Engineering,3,20,M,"['team projects', 'experiments', 'design', 'data analysis']"
NU_ENG_000241,NU,Industrial Engineering,2,20,M,"['analytics', 'optimization', 'simulation', 'operations']"
NU_ENG_000242,NU,Industrial Engineering,1,19,M,"['analytics', 'supply chain', 'quality', 'optimization']"
NU_ENG_000243,NU,Chemical Engineering,2,19,M,"['experiments', 'team projects', 'modeling', 'design']"
NU_ENG_000244,NU,Computer Science,2,19,M,"['data', 'machine learning', 'AI', 'NLP']"
NU_ENG_000245,NU,Computer Science,2,20,F,"['machine learning', 'NLP', 'AI', 'systems']"
NU_ENG_000246,NU,Industrial Engineering,1,18,NB,"['analytics', 'quality', 'operations', 'simulation']"
NU_ENG_000247,NU,Computer Science,2,20,F,"['systems', 'algorithms', 'NLP', 'AI']"
NU_ENG_000248,NU,Computer Engineering,3,20,M,"['hardware', 'embedded', 'systems', 'IoT']"
NU_ENG_000249,NU,Computer Engineering,2,19,M,"['systems', 'embedded', 'hardware', 'architecture']"
NU_ENG_000250,NU,Computer Science,2,20,F,"['NLP', 'machine learning', 'algorithms', 'AI']"
NU_ENG_000251,NU,Electrical Engineering,3,20,M,"['signals', 'power', 'communications', 'embedded']"
NU_ENG_000252,NU,Industrial Engineering,4,21,F,"['optimization', 'simulation', 'quality', 'supply chain']"
NU_ENG_000253,NU,Computer Science,2,19,F,"['machine learning', 'NLP', 'systems', 'data']"
NU_ENG_000254,NU,Chemical Engineering,3,20,F,"['modeling', 'programming', 'team projects', 'design']"
NU_ENG_000255,NU,Chemical Engineering,4,22,F,"['design', 'programming', 'modeling', 'experiments']"
NU_ENG_000256,NU,Industrial Engineering,3,20,F,"['supply chain', 'optimization', 'analytics', 'quality']"
NU_ENG_000257,NU,Industrial Engineering,4,21,M,"['supply chain', 'quality', 'analytics', 'simulation']"
NU_ENG_000258,NU,Biomedical Engineering,4,21,M,"['experiments', 'data analysis', 'design', 'modeling']"
NU_ENG_000259,NU,Biomedical Engineering,1,19,M,"['experiments', 'team projects', 'programming', 'design']"
NU_ENG_000260,NU,Computer Science,2,19,M,"['algorithms', 'AI', 'data', 'machine learning']"
NU_ENG_000261,NU,Biomedical Engineering,3,21,F,"['design', 'experiments', 'team projects', 'modeling']"
NU_ENG_000262,NU,Industrial Engineering,4,22,F,"['quality', 'supply chain', 'operations', 'analytics']"
NU_ENG_000263,NU,Civil Engineering,2,19,M,"['water', 'transportation', 'structures', 'sustainability']"
NU_ENG_000264,NU,Biomedical Engineering,1,19,M,"['design', 'programming', 'modeling', 'data analysis']"
NU_ENG_000265,NU,Manufacturing and Design Engineering,3,20,M,"['programming', 'data analysis', 'experiments', 'team projects']"
NU_ENG_000266,NU,Biomedical Engineering,1,18,F,"['experiments', 'programming', 'modeling', 'team projects']"
NU_ENG_000267,NU,Chemical Engineering,4,22,M,"['experiments', 'programming', 'data analysis', 'design']"
