Original Input: Amy Wagoner Johnson | Institution: UIUC | Status: No ID Found
Original Input: Horacio Espinosa | Institution: NU | Matched Name: H. Espinosa | Author ID: 144854104
Original Input: J. Edward Colgate | Institution: NU | Matched Name: J. Colgate | Author ID: 1700106
Original Input: Jennifer B. Dunn | Institution: NU | Matched Name: J. Dunn | Author ID: 144552733
Original Input: John A. Rogers | Institution: NU | Matched Name: J. Rogers | Author ID: 144254966
Original Input: John Rudnicki | Institution: NU | Matched Name: J. Rudnicki | Author ID: 17695609
Original Input: Jose Pons | Institution: NU | Matched Name: J. Pons | Author ID: 47319717
Original Input: Julio M. Ottino | Institution: NU | Matched Name: J. Ottino | Author ID: 2556722
Original Input: Junsoo Kim | Institution: NU | Matched Name: Jun-Soo Kim | Author ID: 2109984862
Original Input: Kevin Lynch | Institution: NU | Matched Name: K. Lynch | Author ID: 35114532
Original Input: Kornel Ehmann | Institution: NU | Matched Name: K. Ehmann | Author ID: 50282317
Original Input: Malcolm A MacIver | Institution: NU | Matched Name: M. A. MacIver | Author ID: 39884769
Original Input: Manohar Kulkarni | Institution: NU | Matched Name: M. Kulkarni | Author ID: 91408184
Original Input: Matthew J Major | Institution: NU | Matched Name: M. Major | Author ID: 6270873
Original Input: Michael Peshkin | Institution: NU | Matched Name: M. Peshkin | Author ID: 1789986
Original Input: Mitra J. Hartmann | Institution: NU | Matched Name: M. Hartmann | Author ID: 46851258
Original Input: Neelesh A. Patankar | Institution: NU | Matched Name: N. Patankar | Author ID: 1696499
Original Input: Oluwaseyi Balogun | Institution: NU | Matched Name: O. Balogun | Author ID: 144740713
Original Input: Ping Guo | Institution: NU | Matched Name: Ping Guo | Author ID: 144264373
Original Input: Q. Jane Wang | Institution: NU | Matched Name: Q. Wang | Author ID: 25710262
Original Input: Ryan L. Truby | Institution: NU | Matched Name: R. Truby | Author ID: 5791508
Original Input: Sandip Ghosal | Institution: NU | Matched Name: S. Ghosal | Author ID: 40438813
Original Input: Seth Lichter | Institution: NU | Matched Name: S. Lichter | Author ID: 40096875
Original Input: Sinan Keten | Institution: NU | Matched Name: S. Keten | Author ID: 4886848
Original Input: Sridhar Krishnaswamy | Institution: NU | Matched Name: S. Krishnaswamy | Author ID: 145536874
Original Input: Steven Gard | Institution: NU | Matched Name: S. Gard | Author ID: 145597276
Original Input: Tao Sun, T. Sun | Institution: NU | Matched Name: T. Sun | Author ID: 122492681
Original Input: Todd D Murphey | Institution: NU | Matched Name: T. Murphey | Author ID: 2750574
Original Input: Yip-Wah Chung | Institution: NU | Matched Name: Y. Chung | Author ID: 98106798
