Institution,Professor Name (Original),Author ID,Paper Type,Paper Title,Year,Citation Count,Semantic Scholar URL,Final Link
NU,Bahador Bahmani,101566577,Most Recent,Discovering interpretable elastoplasticity models via the neural polynomial method enabled symbolic regressions,2023,23,https://www.semanticscholar.org/paper/61f1e3550ccb6795b7e9ef7e1b1d67a5c8ce3089,https://arxiv.org/pdf/2307.13149
NU,Bahador Bahmani,101566577,Most Recent,Synthesizing controlled microstructures of porous media using generative adversarial networks and reinforcement learning,2022,66,https://www.semanticscholar.org/paper/64ba788e015b5fb9479a78fe925731e0a289f72e,https://www.nature.com/articles/s41598-022-12845-7.pdf
NU,Bahador Bahmani,101566577,Most Recent,Journal of the Mechanics and Physics of Solids,2022,34,https://www.semanticscholar.org/paper/fd071dc08d551e47f0fff2d2ad974c1cbde327b8,https://www.semanticscholar.org/paper/fd071dc08d551e47f0fff2d2ad974c1cbde327b8
NU,Brenna Argall,1836885,Most Cited,Robotics and autonomous systems,1988,3887,https://www.semanticscholar.org/paper/54d47af5a99eb31ce0d9b38edd0d03022be34841,https://doi.org/10.1016/0921-8890(88)90002-4
NU,Brenna Argall,1836885,Most Cited,Integration of Auditory and Visual Information about Objects in Superior Temporal Sulcus,2004,756,https://www.semanticscholar.org/paper/944c94be8449fb446a094870665adc90819004bd,http://www.cell.com/article/S0896627304000704/pdf
NU,Brenna Argall,1836885,Most Cited,Unraveling multisensory integration: patchy organization within human STS multisensory cortex,2004,539,https://www.semanticscholar.org/paper/cebcaa2769d2726153c11227a53282fa891146d3,https://doi.org/10.1038/nn1333
NU,Brenna Argall,1836885,Most Cited,A survey of Tactile Human-Robot Interactions,2010,318,https://www.semanticscholar.org/paper/5d5dcde48bc49450b8546adc83fe5a30d38a96b1,https://infoscience.epfl.ch/record/143457/files/article_published.pdf
NU,Brenna Argall,1836885,Most Cited,SUMA: an interface for surface-based intra- and inter-subject analysis with AFNI,2004,232,https://www.semanticscholar.org/paper/32566694886f3df0c814f4224c6ed0b84b447bac,https://doi.org/10.1109/ISBI.2004.1398837
NU,Brenna Argall,1836885,Most Cited,Simplified intersubject averaging on the cortical surface using SUMA,2006,202,https://www.semanticscholar.org/paper/d219044f14d472356de20eb8cfc10dafcca5ad7d,https://europepmc.org/articles/pmc6871368?pdf=render
NU,Brenna Argall,1836885,Most Cited,Dynamically formed heterogeneous robot teams performing tightly-coordinated tasks,2006,172,https://www.semanticscholar.org/paper/4cebd6f4dbf1f6c633204acf1a5b85066906fcc4,http://www.ri.cmu.edu/pub_files/pub4/jones_edward_2006_1/jones_edward_2006_1.pdf
NU,Brenna Argall,1836885,Most Cited,Human-in-the-Loop Optimization of Shared Autonomy in Assistive Robotics,2017,164,https://www.semanticscholar.org/paper/e1c182e74860ce04bef26a1fc7ab755c598927f7,https://europepmc.org/articles/pmc6335047?pdf=render
NU,Brenna Argall,1836885,Most Cited,A Human–Robot Interaction Perspective on Assistive and Rehabilitation Robotics,2017,121,https://www.semanticscholar.org/paper/a62c609c9da71d8255ee07a2eb65319ae3df0305,https://www.frontiersin.org/articles/10.3389/fnbot.2017.00024/pdf
NU,Brenna Argall,1836885,Most Cited,Probabilistic Human Intent Recognition for Shared Autonomy in Assistive Robotics,2019,112,https://www.semanticscholar.org/paper/ce85a5cce856dd744ce89e6c21c8f75171ed9636,https://dl.acm.org/doi/pdf/10.1145/3359614
NU,Brenna Argall,1836885,Most Recent,Characterizing eye gaze and mental workload for assistive device control,2025,0,https://www.semanticscholar.org/paper/9a23991b0e7f7ed5c419f10b7dca0b318e0cf499,https://doi.org/10.1017/wtc.2024.27
NU,Brenna Argall,1836885,Most Recent,A Customizable Fitting Protocol for the Body-Machine Interface,2025,0,https://www.semanticscholar.org/paper/ae4aaa9fdab255ae6f0cdd86069020f8d0d1fe04,https://doi.org/10.1109/ICORR66766.2025.11063215
NU,Brenna Argall,1836885,Most Recent,Task-agnostic and interface-aware handling of unintended interface operation for robot arm teleoperation: Insights and case study evaluations by persons with spinal cord injury,2025,0,https://www.semanticscholar.org/paper/b4bce783417cb4899163595964da6974c87974bf,https://doi.org/10.1177/02783649251377334
NU,Brenna Argall,1836885,Most Recent,Curating User-Defined Interface Maps for Robot Teleoperation,2025,0,https://www.semanticscholar.org/paper/dca51e7f90a6716223ef035ac277d7a751d419c5,https://doi.org/10.1109/ICORR66766.2025.11062971
NU,Brenna Argall,1836885,Most Recent,Interface-level Intent Inference for Environment-agnostic Robot Teleoperation Assistance,2025,0,https://www.semanticscholar.org/paper/ec782d31b08043c239dfa23f1a1ffee4d1dab80a,https://doi.org/10.15607/rss.2025.xxi.081
NU,Brenna Argall,1836885,Most Recent,An Evolution of Assistive Robot Control to Meet End-User Ability,2024,1,https://www.semanticscholar.org/paper/26395cb067067fc026270f542afd4cc9976443e5,https://dl.acm.org/doi/pdf/10.1145/3610978.3640565
NU,Brenna Argall,1836885,Most Recent,Learning to Control Complex Robots Using High-Dimensional Body-Machine Interfaces,2024,6,https://www.semanticscholar.org/paper/cb69d81fd1a3b00820de33d936cc622501c17b8d,https://dl.acm.org/doi/pdf/10.1145/3630264
NU,Brenna Argall,1836885,Most Recent,An Exploratory Multi-Session Study of Learning High-Dimensional Body-Machine Interfacing for Assistive Robot Control,2023,6,https://www.semanticscholar.org/paper/0cfc760abb73eb5e267b1fbef48e5091d78a0d74,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11059238
NU,Brenna Argall,1836885,Most Recent,Interface-Aware Assistance for 7-DoF Robot Arm Teleoperation: Case Studies on Feasibility,2023,1,https://www.semanticscholar.org/paper/2b6cea0288d12da22e4d659a9fd27f136dc247af,https://doi.org/10.1007/978-3-031-63596-0_3
NU,Brenna Argall,1836885,Most Recent,Characterizing Eye Gaze for Assistive Device Control,2023,2,https://www.semanticscholar.org/paper/cea29e133c1d9642176c47827bd020dd45f7d20a,https://doi.org/10.1109/ICORR58425.2023.10304812
NU,Cheng Sun,102245864,Most Cited,Micro-stereolithography of polymeric and ceramic microstructures,1999,450,https://www.semanticscholar.org/paper/2f2688971787c6b74c82536655fb69047403aeaa,https://doi.org/10.1016/S0924-4247(99)00189-2
NU,Cheng Sun,102245864,Most Cited,Optical and electrical properties of direct-current magnetron sputtered ZnO:Al films,2001,175,https://www.semanticscholar.org/paper/dc739d16c3837ce97d3fd13858f417959edfee2b,https://doi.org/10.1063/1.1398070
NU,Cheng Sun,102245864,Most Cited,Extraordinary n‐Type Mg3SbBi Thermoelectrics Enabled by Yttrium Doping,2019,171,https://www.semanticscholar.org/paper/6a6c1f96f1a625f59361eb86336fde8b8401df99,https://doi.org/10.1002/adma.201903387
NU,Cheng Sun,102245864,Most Cited,Strongly Coupled Molybdenum Carbide on Carbon Sheets as a Bifunctional Electrocatalyst for Overall Water Splitting.,2017,118,https://www.semanticscholar.org/paper/f0007a7417e87403915ca1d92cc20f1974c4c2a4,https://doi.org/10.1002/cssc.201701276
NU,Cheng Sun,102245864,Most Cited,Inkjet Printing Transparent and Conductive MXene (Ti3C2Tx) Films: A Strategy for Flexible Energy Storage Devices.,2021,99,https://www.semanticscholar.org/paper/03b706d18f1e2684f8e6974db2cfdee2eea4fa79,https://doi.org/10.1021/acsami.1c00724
NU,Cheng Sun,102245864,Most Cited,Molybdenum carbide nanoparticles embedded in nitrogen-doped porous carbon nanofibers as a dual catalyst for hydrogen evolution and oxygen reduction reactions,2017,91,https://www.semanticscholar.org/paper/e713d79c5a74d5f81d7f5ec6273dc35f4142367c,https://doi.org/10.1016/J.CARBON.2016.12.081
NU,Cheng Sun,102245864,Most Cited,Revelation of Inherently High Mobility Enables Mg3Sb2 as a Sustainable Alternative to n‐Bi2Te3 Thermoelectrics,2019,85,https://www.semanticscholar.org/paper/b5e3986a107ccfc2f8da3cda745eab01fafc375b,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201802286
NU,Cheng Sun,102245864,Most Cited,Revealing isoelectronic size conversion dynamics of metal nanoclusters by a noncrystallization approach,2018,85,https://www.semanticscholar.org/paper/aca1fad63ed0411ed6fccc8caf7f8be8b6ea36db,https://www.nature.com/articles/s41467-018-04410-6.pdf
NU,Cheng Sun,102245864,Most Cited,Optimizing MoS2 Edges by Alloying Isovalent W for Robust Hydrogen Evolution Activity,2018,84,https://www.semanticscholar.org/paper/a8eb4ff5802d81b7a223b580357603a31fb2c1ee,https://doi.org/10.1021/ACSCATAL.8B02162
NU,Cheng Sun,102245864,Most Cited,Defect engineering of molybdenum disulfide through ion irradiation to boost hydrogen evolution reaction performance,2019,75,https://www.semanticscholar.org/paper/6db2c698c7c05196e27f2c8aa53d352b2b7e6222,https://doi.org/10.1007/s12274-019-2400-1
NU,Cheng Sun,102245864,Most Recent,Inkjet Printing Transparent and Conductive MXene (Ti3C2Tx) Films: A Strategy for Flexible Energy Storage Devices.,2021,99,https://www.semanticscholar.org/paper/03b706d18f1e2684f8e6974db2cfdee2eea4fa79,https://doi.org/10.1021/acsami.1c00724
NU,Cheng Sun,102245864,Most Recent,Epitaxial growth of highly textured ZnO thin films on Si using an AlN buffer layer by atomic layer deposition,2021,10,https://www.semanticscholar.org/paper/25c2998b6b1cda59e6a689342a0a9385de2475a1,https://avs.scitation.org/doi/pdf/10.1116/6.0000793
NU,Cheng Sun,102245864,Most Recent,MXene (Ti3C2Tx) Functionalized Short Carbon Fibers as a Cross-Scale Mechanical Reinforcement for Epoxy Composites,2021,23,https://www.semanticscholar.org/paper/931dbfc845706f2f23571dc266b192538ad032e5,https://www.mdpi.com/2073-4360/13/11/1825/pdf?version=1622465307
NU,Cheng Sun,102245864,Most Recent,Compromise between band structure and phonon scattering in efficient n-Mg3Sb2-Bi thermoelectrics,2021,66,https://www.semanticscholar.org/paper/c649aeb926cc02bd3fe0e3f40ee69cd350dcf5b3,http://manuscript.elsevier.com/S2542529321000237/pdf/S2542529321000237.pdf
NU,Cheng Sun,102245864,Most Recent,Na-doping enables both dislocations and holes in EuMg2Sb2 for thermoelectric enhancements,2020,13,https://www.semanticscholar.org/paper/0af55a3a51198665c6ca0ddb564b11946ee2ca10,https://doi.org/10.1039/d0ta02081h
NU,Cheng Sun,102245864,Most Recent,Investigation of the Extinction Spectra of a Plasmonic Noble-Metal Hollow Nanocube,2020,2,https://www.semanticscholar.org/paper/21a9dd5f7ace6ab908eee52acffd8c026301274e,https://doi.org/10.1007/s11468-020-01273-w
NU,Cheng Sun,102245864,Most Recent,Ternary thermoelectric AB2C2 Zintls,2020,34,https://www.semanticscholar.org/paper/7190ba0692c5d5ee1021ab653bc39a6243c629d6,https://doi.org/10.1016/j.jallcom.2019.153497
NU,Cheng Sun,102245864,Most Recent,In-Plane Oriented Stacks of c-AlScN/Mo (110) for BAW Resonators Grown by Magnetron Sputter Epitaxy,2020,0,https://www.semanticscholar.org/paper/a7ec5b59c9ba756c02c42a61ff981ff5e98c4cf2,https://doi.org/10.1109/IUS46767.2020.9251791
NU,Cheng Sun,102245864,Most Recent,Thermoelectric Transport Properties of TmAg Cu1-Te2 solid solutions,2020,4,https://www.semanticscholar.org/paper/b74e30f809d64931ce924bfe5e252392258eb592,https://doi.org/10.1016/j.jmat.2020.12.003
NU,Cheng Sun,102245864,Most Recent,Plasmonic properties of a honeycomb structure formed by metallic nanoparticles,2020,7,https://www.semanticscholar.org/paper/d3201784d109492fbe57849ea4faa6dba57bab86,https://doi.org/10.1016/j.physe.2019.113901
NU,Elizabeth M Gerber,145003123,Most Cited,Crowdfunding : Why People Are Motivated to Post and Fund Projects on Crowdfunding Platforms,2011,602,https://www.semanticscholar.org/paper/c1e2a1068f0af1c3120c62be5943340518860ecb,https://www.semanticscholar.org/paper/c1e2a1068f0af1c3120c62be5943340518860ecb
NU,Elizabeth M Gerber,145003123,Most Cited,Understanding the role of community in crowdfunding work,2014,227,https://www.semanticscholar.org/paper/e820ef32d71bc43a681d6da96001c1fd437f96cd,https://doi.org/10.1145/2531602.2531715
NU,Elizabeth M Gerber,145003123,Most Cited,Crowdfunding support tools: predicting success & failure,2013,222,https://www.semanticscholar.org/paper/c7e9f331e99cefdf9d692f716f5e9d5316d4f4e4,https://doi.org/10.1145/2468356.2468682
NU,Elizabeth M Gerber,145003123,Most Cited,Next Steps for Human-Computer Integration,2020,176,https://www.semanticscholar.org/paper/bc1abd29110b9774bee1395940852f8df2e686a7,https://discovery.ucl.ac.uk/10112397/1/chi20c-sub2351-cam-i16.pdf
NU,Elizabeth M Gerber,145003123,Most Cited,The psychological experience of prototyping,2012,162,https://www.semanticscholar.org/paper/e7c248c0907d30bbd03600677aa425663d5a6c87,https://doi.org/10.1016/J.DESTUD.2011.06.005
NU,Elizabeth M Gerber,145003123,Most Cited,The logic of design research,2018,107,https://www.semanticscholar.org/paper/24d56fd1f1e0366fd0bfa05a451b14987d7ef1ea,https://www.tandfonline.com/doi/pdf/10.1080/23735082.2017.1286367?needAccess=true
NU,Elizabeth M Gerber,145003123,Most Cited,"Design-Based Research Process: Problems, Phases, and Applications",2014,106,https://www.semanticscholar.org/paper/4de3eeae4f0b2591577c8b84add7505ed34929cc,https://doi.org/10.22318/ICLS2014.317
NU,Elizabeth M Gerber,145003123,Most Cited,Developing Makerspaces as Sites of Entrepreneurship,2017,82,https://www.semanticscholar.org/paper/cb2ee38b87cad6b1836f44a766a136b8efead34e,https://doi.org/10.1145/2998181.2998264
NU,Elizabeth M Gerber,145003123,Most Cited,Affective computational priming and creativity,2011,80,https://www.semanticscholar.org/paper/630cf7643f8817f5feb03170eda2e2af9ecc83bb,http://egerber.mech.northwestern.edu/wp-content/uploads/2012/11/Gerber_AffectiveComputationalPriming.pdf
NU,Elizabeth M Gerber,145003123,Most Cited,Learning to fail: experiencing public failure online through crowdfunding,2014,78,https://www.semanticscholar.org/paper/914660f15ece3a7bf546152dac74b65e7a6805ef,https://doi.org/10.1145/2556288.2557110
NU,Elizabeth M Gerber,145003123,Most Recent,Making social impact commonplace,2022,0,https://www.semanticscholar.org/paper/172c1ac940ba784f59443acd279efa4584980cd8,https://doi.org/10.1145/3564037
NU,Elizabeth M Gerber,145003123,Most Recent,Understanding Gender Differences in Pricing Strategies in Online Labor Marketplaces,2021,28,https://www.semanticscholar.org/paper/1d46ee71a9e35de9e3f6d785b2abe7716e1739c3,https://doi.org/10.1145/3411764.3445636
NU,Elizabeth M Gerber,145003123,Most Recent,An Emergent Understanding of Mentor Strategies for Career Development in Emerging Fields,2021,7,https://www.semanticscholar.org/paper/63bdf2f03aed687c3b914ead554ccf2709fb68de,https://dl.acm.org/doi/pdf/10.1145/3411763.3451800
NU,Elizabeth M Gerber,145003123,Most Recent,CrowdFolio,2021,5,https://www.semanticscholar.org/paper/fcd21b34279d29a79f3e136b0a7266da3ecd1804,https://doi.org/10.1145/3449096
NU,Elizabeth M Gerber,145003123,Most Recent,How Freelancers Experience Online Labor Marketplaces during a Pandemic,2020,0,https://www.semanticscholar.org/paper/13be65dfa47135a8855356f6525e91afa4ea4024,https://www.semanticscholar.org/paper/13be65dfa47135a8855356f6525e91afa4ea4024
NU,Elizabeth M Gerber,145003123,Most Recent,The design risks framework: Understanding metacognition for iteration,2020,27,https://www.semanticscholar.org/paper/b114c2e21cb080c95e90f14d5065e841e7c2fd8f,http://manuscript.elsevier.com/S0142694X20300491/pdf/S0142694X20300491.pdf
NU,Elizabeth M Gerber,145003123,Most Recent,Next Steps for Human-Computer Integration,2020,176,https://www.semanticscholar.org/paper/bc1abd29110b9774bee1395940852f8df2e686a7,https://discovery.ucl.ac.uk/10112397/1/chi20c-sub2351-cam-i16.pdf
NU,Elizabeth M Gerber,145003123,Most Recent,Designing a Model for Deliberation-Based Learning,2020,1,https://www.semanticscholar.org/paper/bcf8b7fb14981eb7cf207b8a260736176b6f5045,https://www.semanticscholar.org/paper/bcf8b7fb14981eb7cf207b8a260736176b6f5045
NU,Elizabeth M Gerber,145003123,Most Recent,The Logic of Effective Iteration in Design-Based Research,2020,14,https://www.semanticscholar.org/paper/fd72e07e0ad38cd7004a546688f0ddd86ab489bf,https://www.semanticscholar.org/paper/fd72e07e0ad38cd7004a546688f0ddd86ab489bf
NU,Elizabeth M Gerber,145003123,Most Recent,Opportunities for educational innovations in authentic project-based learning: understanding instructor perceived challenges to design for adoption,2019,53,https://www.semanticscholar.org/paper/6b2615828b2fec4eabdf145b3861ad537b20f4e4,https://doi.org/10.1007/S11423-019-09673-4
NU,Gianluca Cusatis,8858860,Most Cited,Lattice Discrete Particle Model (LDPM) for failure behavior of concrete. I: Theory,2011,433,https://www.semanticscholar.org/paper/b85eff52eed4fe944635051ef9a48d52b6165a67,https://doi.org/10.1016/J.CEMCONCOMP.2011.02.011
NU,Gianluca Cusatis,8858860,Most Cited,Lattice Discrete Particle Model (LDPM) for failure behavior of concrete. II: Calibration and validation,2011,338,https://www.semanticscholar.org/paper/02de70a84c5d32a78e72fa3d954904a6638ce3de,https://doi.org/10.1016/J.CEMCONCOMP.2011.02.010
NU,Gianluca Cusatis,8858860,Most Cited,Confinement-Shear Lattice Model for Concrete Damage in Tension and Compression: I. Theory,2002,319,https://www.semanticscholar.org/paper/38802e0a57f7e70059d50c7d04d1d622fa6a7ada,https://doi.org/10.1061/(ASCE)0733-9399(2003)129:12(1439)
NU,Gianluca Cusatis,8858860,Most Cited,Strain-rate effects on concrete behavior,2011,222,https://www.semanticscholar.org/paper/56d8aaea5e76676810500f9ae2cd41e5a2120914,https://doi.org/10.1016/J.IJIMPENG.2010.10.030
NU,Gianluca Cusatis,8858860,Most Cited,Confinement-shear lattice CSL model for fracture propagation in concrete,2006,215,https://www.semanticscholar.org/paper/f9d32e9ccd5ee5858b87d22bafbd02cd06dbba6d,https://doi.org/10.1016/J.CMA.2005.04.019
NU,Gianluca Cusatis,8858860,Most Cited,Temperature Effect on Concrete Creep Modeled by Microprestress-Solidification Theory,2004,211,https://www.semanticscholar.org/paper/a4051616bca6acb7f9a24e97dd0915cdd4a49ea4,https://doi.org/10.1061/(ASCE)0733-9399(2004)130:6(691)
NU,Gianluca Cusatis,8858860,Most Cited,Hygro-thermo-chemical modeling of high performance concrete. I: Theory,2009,200,https://www.semanticscholar.org/paper/b323f38e348ab328e672c7a94d828a6aafec3a39,https://doi.org/10.1016/J.CEMCONCOMP.2009.02.015
NU,Gianluca Cusatis,8858860,Most Cited,CONFINEMENT-SHEAR LATTICE MODEL FOR CONCRETE DAMAGE IN TENSION AND COMPRESSION: II. COMPUTATION AND VALIDATION,2003,189,https://www.semanticscholar.org/paper/173c4c4785dcfbb1df6ae65e5438953a8147b2ea,https://doi.org/10.1061/(ASCE)0733-9399(2003)129:12(1449)
NU,Gianluca Cusatis,8858860,Most Cited,Lattice Discrete Particle Modeling (LDPM) of Alkali Silica Reaction (ASR) deterioration of concrete structures,2013,166,https://www.semanticscholar.org/paper/13c4ab50d0514f4fa5355dfbcf12f7de70b9efe1,https://doi.org/10.1016/J.CEMCONCOMP.2013.04.015
NU,Gianluca Cusatis,8858860,Most Cited,"Anisotropic elastic, strength, and fracture properties of Marcellus shale",2017,148,https://www.semanticscholar.org/paper/55e25bf88aa075519e09ffdf8a65d6cf99b5bc5d,https://arxiv.org/pdf/1712.02320
NU,Gianluca Cusatis,8858860,Most Recent,Lattice discrete particle model simulations of energetic size effect and its implications for shear design specifications of reinforced concrete squat walls,2025,4,https://www.semanticscholar.org/paper/01ef438ca441d25b6f162810428c91127ad66231,https://doi.org/10.1016/j.engstruct.2024.119085
NU,Gianluca Cusatis,8858860,Most Recent,High-fidelity SPH-DEM Framework for Mesoscopic Rheological Behavior of Fresh Fiber-reinforced Concrete,2025,4,https://www.semanticscholar.org/paper/04e99c53b18bd830e4d51549ee6a041ed6fced6d,https://doi.org/10.1016/j.ijmecsci.2025.110061
NU,Gianluca Cusatis,8858860,Most Recent,Comparison of Lattice Discrete Particle Model (LDPM) implementations: lessons learned and future work,2025,0,https://www.semanticscholar.org/paper/14e07e575bccd8f89e3ae49ac76ec3d0ceccd17b,https://doi.org/10.21012/fc12.1299
NU,Gianluca Cusatis,8858860,Most Recent,Calibrating a damage model from lattice discrete results,2025,0,https://www.semanticscholar.org/paper/2556813baa75c16423a977beb3760199ae8e0744,https://doi.org/10.21012/fc12.1324
NU,Gianluca Cusatis,8858860,Most Recent,Lattice and continuum damage modeling for fracture of concrete,2025,0,https://www.semanticscholar.org/paper/269d3ac63b12fd4c9e4bc503557a915a2b1a28de,https://doi.org/10.21012/fc12.1373
NU,Gianluca Cusatis,8858860,Most Recent,Transformation and regression statistics of the size-effect method for determining fracture energy and process zone size in quasi-brittle materials,2025,1,https://www.semanticscholar.org/paper/4b7682f1fedb50d7bc4c67a0dcd0e06f22a99aee,https://doi.org/10.1617/s11527-024-02565-x
NU,Gianluca Cusatis,8858860,Most Recent,Asymptotic homogenization of discrete models with rotational degrees of freedom,2025,0,https://www.semanticscholar.org/paper/58d26d98f71554e8a37e1976438ffb5f9f78581e,https://doi.org/10.21012/fc12.1263
NU,Gianluca Cusatis,8858860,Most Recent,Hydro-thermal-mechanical coupling properties and mesoscale simulation of concrete-rock composites,2025,0,https://www.semanticscholar.org/paper/633e03f4b7c57ffcf562e1833dcedeae6017f3c4,https://doi.org/10.21012/fc12.1272
NU,Gianluca Cusatis,8858860,Most Recent,Two-way coupled multiphysics simulation of lattice discrete particle model,2025,0,https://www.semanticscholar.org/paper/6f2df65f1816b80db8dced8953430402878d98fc,https://doi.org/10.21012/fc12.1300
NU,Gianluca Cusatis,8858860,Most Recent,Mesoscale mechanical discrete model for cementitious composites with microfibers,2025,0,https://www.semanticscholar.org/paper/6f46e17c1334233e284ae9adaab5a510f881beea,https://doi.org/10.21012/fc12.1278
NU,Greg Wagner,91998567,Most Cited,Mechanics of carbon nanotubes,2002,1148,https://www.semanticscholar.org/paper/b14cd0abd7a5018303bcd7f80e5536cd081b4ab3,https://doi.org/10.1115/1.1490129
NU,Greg Wagner,91998567,Most Cited,Coupling of atomistic and continuum simulations using a bridging scale decomposition,2003,699,https://www.semanticscholar.org/paper/2356f2b52a9d9a4b4baec9b0cf500cd2360768de,https://doi.org/10.1016/S0021-9991(03)00273-0
NU,Greg Wagner,91998567,Most Cited,Multi-physics modeling of single/multiple-track defect mechanisms in electron beam selective melting,2017,338,https://www.semanticscholar.org/paper/bbe1de0d7d7867e3ae3cb70f6b01056c33baec6e,http://manuscript.elsevier.com/S1359645417304500/pdf/S1359645417304500.pdf
NU,Greg Wagner,91998567,Most Cited,Mesoscopic and multiscale modelling in materials,2021,276,https://www.semanticscholar.org/paper/a7d370ccf8f86a26c0ee71bafdc88dc95d426178,https://doi.org/10.1038/s41563-020-00913-0
NU,Greg Wagner,91998567,Most Cited,"Modified embedded atom method potential for Al, Si, Mg, Cu, and Fe alloys",2011,264,https://www.semanticscholar.org/paper/bb31a61529d706a1c712bc56bf9ae3a5014c97be,http://arxiv.org/pdf/1107.0544
NU,Greg Wagner,91998567,Most Cited,"Linking process, structure, property, and performance for metal-based additive manufacturing: computational approaches with experimental support",2016,236,https://www.semanticscholar.org/paper/e06916615b721be22799f7fd2702d00a6debef5f,https://doi.org/10.1007/s00466-015-1240-4
NU,Greg Wagner,91998567,Most Cited,A multiscale projection method for the analysis of carbon nanotubes,2004,205,https://www.semanticscholar.org/paper/dca7b920bd68152bf82c8cc46a8413c05262ca54,https://doi.org/10.1016/J.CMA.2003.12.016
