Professor Name (Original),Author ID,Paper Type,Paper Title,Link
William P. King,2262358637,10 Most Recent,Detecting DNA Translocation through a Nanopore using a van der Waals Heterojunction Diode,https://www.semanticscholar.org/paper/78e8abd55cd7a77d8c982c3d99925e5253f76036
William P. King,2262358637,10 Most Recent,Federated learning enables privacy-preserving and data-efficient dimension prediction and part qualification across additive manufacturing factories,https://www.semanticscholar.org/paper/817f9b1fdcab2ebd7b4cb5cc8813fa40b83c92a5
William P. King,2262358637,10 Most Recent,Fin Design Topology Optimization for Direct Liquid Cooling of Multichip Power Modules,https://www.semanticscholar.org/paper/83386671a19de4ee170854f6327324b9322d4f3f
Bumsoo Han,102497802,10 Most Cited,Solid-state detector design for mobile cargo container inspection system using medium energy X-ray,https://www.semanticscholar.org/paper/c43b659e1559eafeceb279ca2c23dead6737cd12
Bumsoo Han,102497802,10 Most Cited,Test measurements and evaluations of industrial three-dimensional high-penetration tomography,https://www.semanticscholar.org/paper/3af94f91bed84e6cb3cfe8a6f8573e3608bd2076
Bumsoo Han,102497802,10 Most Cited,Effect of CWO and ZnSe(Te) Scintillation Detector on Image Quality of Non-intrusive Inspection System,https://www.semanticscholar.org/paper/b1cc645d456c6db1b4689c12d7f3f41f0df06cca
Bumsoo Han,102497802,10 Most Cited,Mobile Cargo Container Inspection System Using 450kVp X-ray,https://www.semanticscholar.org/paper/e2b96a4e89f14954d09daab8e4af936c47573223
Bumsoo Han,102497802,10 Most Cited,Simulation and Experiment of Light Collection Efficiency from CdWO4 for High Energy X-ray NDT,https://www.semanticscholar.org/paper/edc8c5b5a5637e5f1d835c859b03545bd2287954
Bumsoo Han,102497802,10 Most Recent,Test measurements and evaluations of industrial three-dimensional high-penetration tomography,https://www.semanticscholar.org/paper/3af94f91bed84e6cb3cfe8a6f8573e3608bd2076
Bumsoo Han,102497802,10 Most Recent,Effect of CWO and ZnSe(Te) Scintillation Detector on Image Quality of Non-intrusive Inspection System,https://www.semanticscholar.org/paper/b1cc645d456c6db1b4689c12d7f3f41f0df06cca
Bumsoo Han,102497802,10 Most Recent,Mobile Cargo Container Inspection System Using 450kVp X-ray,https://www.semanticscholar.org/paper/e2b96a4e89f14954d09daab8e4af936c47573223
Bumsoo Han,102497802,10 Most Recent,Solid-state detector design for mobile cargo container inspection system using medium energy X-ray,https://www.semanticscholar.org/paper/c43b659e1559eafeceb279ca2c23dead6737cd12
Bumsoo Han,102497802,10 Most Recent,Simulation and Experiment of Light Collection Efficiency from CdWO4 for High Energy X-ray NDT,https://www.semanticscholar.org/paper/edc8c5b5a5637e5f1d835c859b03545bd2287954
C. Ricardo Constante-Amores,2129104656,10 Most Cited,Role of Kidney Stones in Renal Pelvis Flow.,https://www.semanticscholar.org/paper/a822af25ebd4c907c7e76d4ffc1b4cc27e01b08d
C. Ricardo Constante-Amores,2129104656,10 Most Cited,Poster: 2D Turbulent Dynamics,https://www.semanticscholar.org/paper/88184d28bfc5548b363ec8adf669166ecb640e38
C. Ricardo Constante-Amores,2129104656,10 Most Recent,Poster: 2D Turbulent Dynamics,https://www.semanticscholar.org/paper/88184d28bfc5548b363ec8adf669166ecb640e38
C. Ricardo Constante-Amores,2129104656,10 Most Recent,Role of Kidney Stones in Renal Pelvis Flow.,https://www.semanticscholar.org/paper/a822af25ebd4c907c7e76d4ffc1b4cc27e01b08d
Craig Bradshaw,2055798203,10 Most Cited,Social Media in the SME Business to Business Environment and Toolkit,https://www.semanticscholar.org/paper/2a8c3c46d823322ba41f1f123d0fbadc48a67c7f
Craig Bradshaw,2055798203,10 Most Cited,SUN-P286: Infant Feeding Choices: A Quantitative and Qualitative Evaluation of Expectant Participant__ Intentions of Feeding in the Community Healthcare Organisation 1 (CHO 1) in Ireland,https://www.semanticscholar.org/paper/ab674b7304a90579c8c4b1fdac219283330bed2b
Craig Bradshaw,2055798203,10 Most Cited,Briefing: Renewables obligations certificates _ understanding risks,https://www.semanticscholar.org/paper/80e7e3a0456eef3cdd3231206ee7ea1a276b4c49
Craig Bradshaw,2055798203,10 Most Recent,Social Media in the SME Business to Business Environment and Toolkit,https://www.semanticscholar.org/paper/2a8c3c46d823322ba41f1f123d0fbadc48a67c7f
Craig Bradshaw,2055798203,10 Most Recent,SUN-P286: Infant Feeding Choices: A Quantitative and Qualitative Evaluation of Expectant Participant__ Intentions of Feeding in the Community Healthcare Organisation 1 (CHO 1) in Ireland,https://www.semanticscholar.org/paper/ab674b7304a90579c8c4b1fdac219283330bed2b
Craig Bradshaw,2055798203,10 Most Recent,Briefing: Renewables obligations certificates _ understanding risks,https://www.semanticscholar.org/paper/80e7e3a0456eef3cdd3231206ee7ea1a276b4c49
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,Driving a Ballbot Wheelchair with Hands-Free Torso Control,https://www.semanticscholar.org/paper/7b8db5bcc8cd9ac0f8d702cd1743e6aec2436445
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,Extending Anxiety Detection from Multimodal Wearables in Controlled Conditions to Real-World Environments,https://www.semanticscholar.org/paper/4464da7239492943e094ea5767d737c7c6732017
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,Resilience of Machine Learning Models in Anxiety Detection: Assessing the Impact of Gaussian Noise on Wearable Sensors,https://www.semanticscholar.org/paper/45bec96703ee948235b789196896b31c4016ed64
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,Exploration of the effects of Tai Chi practice on lower limb corticomuscular coherence during balance-demanding virtual reality conditions in older adults,https://www.semanticscholar.org/paper/3148e2d5d91d6b77405c484edd163919be30d177
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,Objective anxiety level classification using unsupervised learning and multimodal physiological signals,https://www.semanticscholar.org/paper/cee89e566ceeaf0d56da45d8428cbe7f3971c877
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,An Interactive Hands-Free Controller for a Riding Ballbot to Enable Simple Shared Control Tasks,https://www.semanticscholar.org/paper/81e2baba82d06cf498230f70d84c3348e8136ab8
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,Towards Design Guidelines for Multidirectional Patient Transfer on a Bed Surface Using Traveling Waves,https://www.semanticscholar.org/paper/e740691c3b16f8b8db06f6fca08db1b2eaea02fd
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,Thermal Radiation Sensors Based on Ionic__onducting Pectin Films,https://www.semanticscholar.org/paper/34d1d87c6f57d63a6d20bddd8a22c3ecdfb60183
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,Enhancing Stability via Adaptive Torque Control for a Four-Wheeled Omniwheel Ballbot,https://www.semanticscholar.org/paper/55e57002e36400a4e2860e7f90ad09532efd3b14
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Cited,Scoping Review of ML Approaches in Anxiety Detection from In-Lab to In-the-Wild,https://www.semanticscholar.org/paper/677d6d657990c708362a7b27625e607fcf68568e
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,Exploration of the effects of Tai Chi practice on lower limb corticomuscular coherence during balance-demanding virtual reality conditions in older adults,https://www.semanticscholar.org/paper/3148e2d5d91d6b77405c484edd163919be30d177
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,Thermal Radiation Sensors Based on Ionic__onducting Pectin Films,https://www.semanticscholar.org/paper/34d1d87c6f57d63a6d20bddd8a22c3ecdfb60183
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,Extending Anxiety Detection from Multimodal Wearables in Controlled Conditions to Real-World Environments,https://www.semanticscholar.org/paper/4464da7239492943e094ea5767d737c7c6732017
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,Enhancing Stability via Adaptive Torque Control for a Four-Wheeled Omniwheel Ballbot,https://www.semanticscholar.org/paper/55e57002e36400a4e2860e7f90ad09532efd3b14
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,Scoping Review of ML Approaches in Anxiety Detection from In-Lab to In-the-Wild,https://www.semanticscholar.org/paper/677d6d657990c708362a7b27625e607fcf68568e
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,Objective anxiety level classification using unsupervised learning and multimodal physiological signals,https://www.semanticscholar.org/paper/cee89e566ceeaf0d56da45d8428cbe7f3971c877
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,Implementation and Validation of Obstacle Avoidance Algorithms on a Self-Balancing Robot,https://www.semanticscholar.org/paper/f1124d66bbf9816d7849b529787f1693ffba6e4d
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,The Effects of Using Geared Wheels on Energy Expenditure During Manual Wheelchair Propulsion in Adults with Spinal Cord Injury,https://www.semanticscholar.org/paper/f566b0c0cee5d15f1e83838170db00328d615538
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,Resilience of Machine Learning Models in Anxiety Detection: Assessing the Impact of Gaussian Noise on Wearable Sensors,https://www.semanticscholar.org/paper/45bec96703ee948235b789196896b31c4016ed64
Elizabeth T. Hsiao-Wecksler,2248876811,10 Most Recent,Enabling Shared-Control for A Riding Ballbot System,https://www.semanticscholar.org/paper/63c6f417a5353b2b91cf271ff9bb4a44409f1022
Gaurav Bahl,2084009350,10 Most Cited,Two related types of parametric transformers,https://www.semanticscholar.org/paper/c928932aa93a59573cc266d1ba1fd42e5a376aae
Gaurav Bahl,2084009350,10 Most Cited,Fast algorithms for optimal two-description scalar quantizer design,https://www.semanticscholar.org/paper/6a7f184902a44e611ee669d4b6a3072faa7a4ce1
Gaurav Bahl,2084009350,10 Most Recent,Fast algorithms for optimal two-description scalar quantizer design,https://www.semanticscholar.org/paper/6a7f184902a44e611ee669d4b6a3072faa7a4ce1
Gaurav Bahl,2084009350,10 Most Recent,Two related types of parametric transformers,https://www.semanticscholar.org/paper/c928932aa93a59573cc266d1ba1fd42e5a376aae
Harley Johnson,2284238075,10 Most Cited,Graphene-Induced Surface Stiffening of Copper Studied by Nanoindentation,https://www.semanticscholar.org/paper/b674db0a5a2fe6887256581b39ef7f49942ce32d
Harley Johnson,2284238075,10 Most Cited,Programmable Strainscapes in a Two-Dimensional (2D) Material Monolayer.,https://www.semanticscholar.org/paper/2805ea7770518dd97bafde0a0168badfe3859761
Harley Johnson,2284238075,10 Most Cited,Partnerships and collaboration drive innovative graduate training in materials informatics,https://www.semanticscholar.org/paper/a28c51beb2e52ec3b939c1c038ec51daabaf679a
Harley Johnson,2284238075,10 Most Cited,Interatomic potential development for topological insulator Bi1-xSbx and its dislocation by force-following active learning,https://www.semanticscholar.org/paper/5057c0679785c7168b242e40ddbc655cec6a0cb4
Harley Johnson,2284238075,10 Most Cited,Mechanics of out-of-plane screw dislocation in a 2D material,https://www.semanticscholar.org/paper/63c15699d1cddc36436c3b2f0059e3e618865a5f
Harley Johnson,2284238075,10 Most Cited,Graph Neural Network for Unified Electronic and Interatomic Potentials: Strain-tunable Electronic Structures in 2D Materials,https://www.semanticscholar.org/paper/6cca84748999cc6483e9754d030df698d9cb343b
Harley Johnson,2284238075,10 Most Cited,Modeling the effect of pitting on the tensile behavior of amorphous carbon and carbon fiber,https://www.semanticscholar.org/paper/a116d607461b3eba13d3ad6e609c946a5dfae91f
Harley Johnson,2284238075,10 Most Cited,Application of Time Series Analysis on Kinetic Monte Carlo Simulations of Hyperthermal Oxidation of Graphite,https://www.semanticscholar.org/paper/a2c7a85fd2bc25d18f352164709e9517edadf7de
Harley Johnson,2284238075,10 Most Recent,Programmable Strainscapes in a Two-Dimensional (2D) Material Monolayer.,https://www.semanticscholar.org/paper/2805ea7770518dd97bafde0a0168badfe3859761
Harley Johnson,2284238075,10 Most Recent,Interatomic potential development for topological insulator Bi1-xSbx and its dislocation by force-following active learning,https://www.semanticscholar.org/paper/5057c0679785c7168b242e40ddbc655cec6a0cb4
Harley Johnson,2284238075,10 Most Recent,Mechanics of out-of-plane screw dislocation in a 2D material,https://www.semanticscholar.org/paper/63c15699d1cddc36436c3b2f0059e3e618865a5f
Harley Johnson,2284238075,10 Most Recent,Graph Neural Network for Unified Electronic and Interatomic Potentials: Strain-tunable Electronic Structures in 2D Materials,https://www.semanticscholar.org/paper/6cca84748999cc6483e9754d030df698d9cb343b
Harley Johnson,2284238075,10 Most Recent,Modeling the effect of pitting on the tensile behavior of amorphous carbon and carbon fiber,https://www.semanticscholar.org/paper/a116d607461b3eba13d3ad6e609c946a5dfae91f
Harley Johnson,2284238075,10 Most Recent,Application of Time Series Analysis on Kinetic Monte Carlo Simulations of Hyperthermal Oxidation of Graphite,https://www.semanticscholar.org/paper/a2c7a85fd2bc25d18f352164709e9517edadf7de
Harley Johnson,2284238075,10 Most Recent,Partnerships and collaboration drive innovative graduate training in materials informatics,https://www.semanticscholar.org/paper/a28c51beb2e52ec3b939c1c038ec51daabaf679a
Harley Johnson,2284238075,10 Most Recent,Graphene-Induced Surface Stiffening of Copper Studied by Nanoindentation,https://www.semanticscholar.org/paper/b674db0a5a2fe6887256581b39ef7f49942ce32d
Huseyin Sehitoglu,2255645861,10 Most Cited,Origins of Functional Fatigue and Reversible Transformation of Precipitates in NiTi Shape Memory Alloy,https://www.semanticscholar.org/paper/bfd7c3c3138ffee1e2a6730a4a320e6df9346b89
Huseyin Sehitoglu,2255645861,10 Most Cited,Negative Stacking Fault Energy in FCC materials-Its Implications,https://www.semanticscholar.org/paper/ed4101fd92cd16516f65fbde582ec5e963072f13
Huseyin Sehitoglu,2255645861,10 Most Cited,Short-range ordering mechanics in FCC materials,https://www.semanticscholar.org/paper/d8656dbabf2dd53d15efbcfb0483908d2c7aaa7e
Huseyin Sehitoglu,2255645861,10 Most Cited,The Derivation of CRSS in pure Ti and Ti-Al Alloys,https://www.semanticscholar.org/paper/e7541ceeed5bb6c89278246dd715547ccb14b6f9
Huseyin Sehitoglu,2255645861,10 Most Cited,Distorted dislocation cores and asymmetric glide resistances in titanium,https://www.semanticscholar.org/paper/6c53c27c3abc42f805d150f0c04f92c87087680b
Huseyin Sehitoglu,2255645861,10 Most Cited,Adaptive Phase or Variant Formation at the Austenite/Twinned Martensite Interface in Modulated Ni__n__a Martensite,https://www.semanticscholar.org/paper/cf339bc91b7de4208d18a075962dd621e66e3b3e
Huseyin Sehitoglu,2255645861,10 Most Cited,Continuum Strain of Point Defects,https://www.semanticscholar.org/paper/85c9d025d748e43add4c6ed0d627ba3352e2e5b4
Huseyin Sehitoglu,2255645861,10 Most Cited,Thermodynamic rationale for transformation-induced dislocations in shape memory alloys,https://www.semanticscholar.org/paper/c9e147d86fcf730e4ffb405b842a3d3d853a7ae2
Huseyin Sehitoglu,2255645861,10 Most Cited,Inverse design of short-range order arrangement via neural network,https://www.semanticscholar.org/paper/0f9eedab854525230b551c27a81a2e357fff32e4
Huseyin Sehitoglu,2255645861,10 Most Cited,Direct Comparison of Molecular Dynamics Models for Superelasticity in NiTi,https://www.semanticscholar.org/paper/2b1fb8fa1c01342a38562dfdf6c39b02c59f4112
Huseyin Sehitoglu,2255645861,10 Most Recent,Direct Comparison of Molecular Dynamics Models for Superelasticity in NiTi,https://www.semanticscholar.org/paper/2b1fb8fa1c01342a38562dfdf6c39b02c59f4112
Huseyin Sehitoglu,2255645861,10 Most Recent,Atomistics informed continuum strain field of dislocations,https://www.semanticscholar.org/paper/d06a9c540accc006ec1546b451dd84dd7c52f7a7
Huseyin Sehitoglu,2255645861,10 Most Recent,Origin of twinning mode hierarchy in NiTi _ A Critical Understanding,https://www.semanticscholar.org/paper/efc9d3752dfc3fec1cb8e7d1a84654d1c2e9ac17
Huseyin Sehitoglu,2255645861,10 Most Recent,Dynamic Plastic Deformation Delocalization in FCC Solid Solution Metals,https://www.semanticscholar.org/paper/f80e43a44e10e87ef682d361f6453cf301e8ab0b
Huseyin Sehitoglu,2255645861,10 Most Recent,Inverse design of short-range order arrangement via neural network,https://www.semanticscholar.org/paper/0f9eedab854525230b551c27a81a2e357fff32e4
Huseyin Sehitoglu,2255645861,10 Most Recent,Structural characteristics of irrational Type-II Twin interfaces,https://www.semanticscholar.org/paper/46169c8346cb07a5fdc3c4021625040b2502f9b3
Huseyin Sehitoglu,2255645861,10 Most Recent,Distorted dislocation cores and asymmetric glide resistances in titanium,https://www.semanticscholar.org/paper/6c53c27c3abc42f805d150f0c04f92c87087680b
Huseyin Sehitoglu,2255645861,10 Most Recent,Continuum Strain of Point Defects,https://www.semanticscholar.org/paper/85c9d025d748e43add4c6ed0d627ba3352e2e5b4
Huseyin Sehitoglu,2255645861,10 Most Recent,Origins of Functional Fatigue and Reversible Transformation of Precipitates in NiTi Shape Memory Alloy,https://www.semanticscholar.org/paper/bfd7c3c3138ffee1e2a6730a4a320e6df9346b89
Huseyin Sehitoglu,2255645861,10 Most Recent,Thermodynamic rationale for transformation-induced dislocations in shape memory alloys,https://www.semanticscholar.org/paper/c9e147d86fcf730e4ffb405b842a3d3d853a7ae2
Iwona Jasiuk,46343924,10 Most Cited,Experimental trends in polymer nanocomposites__ review,https://www.semanticscholar.org/paper/ec7ab66b870f47804fbdc1e8d522f1a5f7273db3
Iwona Jasiuk,46343924,10 Most Cited,Mechanical properties of 3D printed polymeric Gyroid cellular structures: Experimental and finite element study,https://www.semanticscholar.org/paper/0d5162247fab4555d0ff66b9e3a69705efcada23
Iwona Jasiuk,46343924,10 Most Cited,Mechanical properties of 3D printed polymeric cellular materials with triply periodic minimal surface architectures,https://www.semanticscholar.org/paper/0f50b16fc0ebb3d8f46b492081ff6b477a069518
Iwona Jasiuk,46343924,10 Most Cited,TEM analysis of the nanostructure of normal and osteoporotic human trabecular bone.,https://www.semanticscholar.org/paper/bdd0ff68b7aad36eed5f13d1ca43f0f2c60d7261
Iwona Jasiuk,46343924,10 Most Cited,Effective conductivities and elastic moduli of novel foams with triply periodic minimal surfaces,https://www.semanticscholar.org/paper/17f3f539df31c6620398804f238c63ea8c573a66
Iwona Jasiuk,46343924,10 Most Cited,Multiscale modeling of elastic properties of cortical bone,https://www.semanticscholar.org/paper/0787c8408bfe9f0a6d57318504ec00f99da0fa62
Iwona Jasiuk,46343924,10 Most Cited,Prediction and optimization of mechanical properties of composites using convolutional neural networks,https://www.semanticscholar.org/paper/dbbb6683d32cbb5ebd2c0bf77664fc94141635d8
Iwona Jasiuk,46343924,10 Most Cited,A review of impact resistant biological and bioinspired materials and structures,https://www.semanticscholar.org/paper/625894b29ca8096aa0e68cf0f014097357678193
Iwona Jasiuk,46343924,10 Most Cited,An Overview on Additive Manufacturing of Polymers,https://www.semanticscholar.org/paper/d0861845867bb5976a6edea495a4fa1628584087
Iwona Jasiuk,46343924,10 Most Cited,Modelling of bone fracture and strength at different length scales: a review,https://www.semanticscholar.org/paper/ac7b39c07bdcd933f9801e741b1dead07fe23022
Iwona Jasiuk,46343924,10 Most Recent,Exploring the Effect of Specimen Size on Elastic Properties of Fused-Filament-Fabrication-Printed Polycarbonate and Thermoplastic Polyurethane,https://www.semanticscholar.org/paper/cd29d290ef52f596df7320e5a12c24823cb7ff46
